HolderAddress,Balance
0x75d2ae0861661eF7479e9229A3E3e2CDd14DfB08,99738333.40892978514414146
0x4123Ffc81579e38dfFf74b75D8BdF21C41E62237,98181477.782100675176390386
0x52BC9F892A0d5DAaDCb889B080B18afbD3C64fFF,92343917.388378166158203862
0x1703592B87dd1045ABfEC459FF7Ee0c30a5fA1E9,90254899.106548749260294213
0x6143d0f76A9e79FCb5d11aE56F3114932C798b24,88572210.374342533105426539
0x60671cEEE0cAC8752C7EA88ECbe4c0f413FB4Dfc,86691180.293914512361206774
0x45F062189421981dA7d1c70db0F98F6027FAA9aa,84652666.87279022038694881
0xa8157a851dEe2719Cfc71c59df5D977615F15f01,82477600.886287214497062439
0xb58FBDC9A4209d8b1934415eb5F3D6A4c60a916C,82153217.154350813880323557
0xBC5584e409A3777114821998D4A43B53760A4655,81485591.591278809614309397
0xc43d4E2481D3345C60F82407f81Cc03e98B5d314,80223868.70635851461393355
0x7C77E136ff3767fdFB51d06A91517AB27A70aC99,79780856.519690320487770575
0xeFC8591519a2D8885C1b62C7de84ce906F22Fa78,78488642.185756061130894904
0x2310c1224d4C58f72AE78a69B95aa19459a626FE,77814296.852151981104244343
0x0897ee6318891f60637caBe74C8e1404164173a1,77799642.608306530410690356
0x0AB54AFbE107849Eaca99c327e5A5Cbe16b98253,74704527.424224617093298908
0xa89fB3fdDa863aaB28A11DB679eAc0c500595B96,74400516.988729234104115919
0x05f20Be65dB8C6aeE001b32E365dc61F3985470A,74016463.829267229449516188
0x7da4ECfEf94CFda6f7Cb02d30772abB1d6DBfB2d,72154393.117177484163849599
0xf5c4F3Dc02c3FB9279495a8fEF7B0741da956157,68399950.782443214150510549
0xDd6361491cD9a1ae7FC4B21e066468F33b08B6b4,67455902.026322284520263265
0xF79C67872Db18dAC19CCF4c3e5741AD4B77A63a8,67019951.74002433261154563
0x32a507b757ad7C1f55389897c4f049b3e601F46c,66243202.354047349079915689
0xc5e8239E66B19c1Fc2f915fDE81a2AfEb40638A9,65410512.146525745623842902
0x81488795718893359B1b35e47336708e677FEaF4,64576076.033135935324422144
0x08b285361dc0076E318dd391153932Cb74F5C2a9,64504971.166758395299288556
0xc0a97a20fF897396C05ac027a26210552639b15C,63264547.568755004874751832
0x03BB46194228c8fCff19051388fe887bFc40E866,63112241.860037699843210812
0xcF11597B3d3567e4310fDF74d8eD273B9ad4778C,60876241.859638979222428853
0x7356F936F47C0B2C06410F860b5F70f54d52058e,55994828.959322102475932029
0x4A6a12a90B18C2E52A6Eb61B83EbAEb747dC8F4D,55789869.971859796005339792
0x6392F9BFa27567669B065F870e60c8708a41722a,55104691.107413640903762154
0x36329d0a1Bcf432541491a1981100824e2A5b598,54356102.167353416776877299
0xD07D35EBb1Ba56380D05FbeF5ef32A69a204B1be,53999499.045377447233403148
0xF929637526Ac105493b5Fb2b8815B0f92d52Fba3,53775128.075361209441313768
0xd1831d6E08A71E226DEEccf648D70F7bD4b5b348,53184603.557937957912409851
0xa284b5cCB8f0Fb5E7e6016Ac250530faE8729e99,52999142.372363025292725967
